Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
1983-01,246,11.23548387,44.69032258,26.4516129,30.32580645,24.00967742
1983-02,5.6,13.69642857,40.12142857,28.06071429,33.15714286,24.84642857
1983-03,18.6,11.8,40.3,28.89032258,34.41612903,25.4483871
1983-04,33.6,9.213333333,38.46,29.37666667,34.32666667,26.25
1983-05,33.6,4.887096774,36.98064516,28.26451613,32.46129032,25.24193548
1983-06,94,6.713333333,38.42,28.28666667,31.95333333,25.31666667
1983-07,190,8.429032258,38.95806452,27.60645161,31,24.94516129
1983-08,262.2,11.30967742,41.62580645,28.09032258,31.53870968,25.61612903
1983-09,170.8,5.643333333,37.38333333,27.23,31.05666667,24.64333333
1983-10,212.7,5.422580645,37.57419355,27.62580645,31.46451613,24.72903226
1983-11,228.8,4.42,35.95333333,26.63666667,30.54,24
1983-12,370.6,6.706451613,38.17096774,25.40967742,28.87419355,23.3
1984-01,251.2,9.619354839,39.88064516,25.50967742,29.46774194,22.93548387
1984-02,470.4,8.493103448,37.79655172,25.82413793,29.9862069,23.3862069
1984-03,361.3,6.561290323,34.43870968,26.52580645,30.81290323,23.80322581
1984-04,153.1,4.846666667,34.46333333,27.36333333,31.33333333,24.52
1984-05,186.5,5.738709677,36.96451613,27.28709677,31.29354839,24.48387097
1984-06,255,8.233333333,38.40333333,27.51333333,31.05,24.72333333
1984-07,127.2,6.835483871,33.46451613,27.17741935,30.71612903,24.71935484
1984-08,102.7,7.974193548,43.07741935,27.37419355,31.18064516,24.33548387
1984-09,186.7,5.943333333,39.05333333,26.8,30.88,23.68666667
1984-10,187.5,5.358064516,38.24193548,27.36774194,31.56129032,24.3
1984-11,127.7,4.466666667,35.05,26.45,31.00333333,24.01
1984-12,277.4,6.535483871,40.32903226,25.95806452,29.97741935,23.56129032
1985-01,111.1,12.80967742,45.19677419,26.58387097,31.24193548,23.61290323
1985-02,79.3,8.885714286,40.16428571,27.05714286,32.09285714,24.07857143
