Date (Months),Monthly Rainfall Total (mm)
1980-01,227.8
1980-02,186.6
1980-03,217.8
1980-04,147.8
1980-05,350.5
1980-06,162
1980-07,197.9
1980-08,263.5
1980-09,157.3
1980-10,177.9
1980-11,423.1
1980-12,216.2
1981-01,73.8
1981-02,172.1
1981-03,72.6
1981-04,286.9
1981-05,284.9
1981-06,17
1981-07,362.6
1981-08,66.3
1981-09,209.7
1981-10,186.1
1981-11,117.4
1981-12,220.8
1982-01,65.7
1982-02,111.8
1982-03,224.1
1982-04,260.2
1982-05,127.2
1982-06,136.4
1982-07,80.7
1982-08,176
1982-09,36.1
1982-10,254
1982-11,418.3
1982-12,319.9
1983-01,128.4
1983-02,6.4
1983-03,67.3
1983-04,118.7
1983-05,118.7
1983-06,143.2
1983-07,201.4
1983-08,86.3
1983-09,140.7
1983-10,123
1983-11,160.4
1983-12,181.6
1984-01,279.7
1984-02,374.8
1984-03,449.3
1984-04,358.2
1984-05,312.5
1984-06,136.5
1984-07,192.3
1984-08,137.3
1984-09,286.9
1984-10,226.1
1984-11,244.6
1984-12,302
1985-01,104.1
1985-02,167.7
1985-03,289.1
1985-04,234.7
1985-05,180.6
1985-06,91.5
1985-07,318
1985-08,45.5
1985-09,223.5
1985-10,379.3
1985-11,290
1985-12,122.3
1986-01,294.6
1986-02,53.4
1986-03,312.6
1986-04,430
1986-05,261.1
1986-06,187.6
1986-07,163.3
1986-08,135.7
1986-09,228.9
1986-10,234.9
1986-11,133
1986-12,162.3
1987-01,457
1987-02,40.2
1987-03,315.4
1987-04,174.2
1987-05,126.7
1987-06,137.9
1987-07,53.8
1987-08,154.7
1987-09,259.8
1987-10,154
1987-11,333.2
1987-12,115.6
1988-01,225.1
1988-02,281.6
1988-03,266
1988-04,335.8
1988-05,408.6
1988-06,139.5
1988-07,228.5
1988-08,191
1988-09,174.8
1988-10,216.2
1988-11,305.1
1988-12,121.9
1989-01,94.3
1989-02,213.3
1989-03,269
1989-04,224.7
1989-05,183.3
1989-06,200.4
1989-07,207.4
1989-08,236.7
1989-09,127.2
1989-10,217.2
1989-11,417.2
1989-12,186.5
1990-01,139.3
1990-02,62.4
1990-03,82.5
1990-04,254.1
1990-05,210.4
